年,月,行政區,買賣筆數
114,1,桃園區,504
114,1,大溪區,163
114,1,中壢區,753
114,1,楊梅區,460
114,1,蘆竹區,430
114,1,大園區,327
114,1,龜山區,319
114,1,八德區,211
114,1,龍潭區,353
114,1,平鎮區,204
114,1,新屋區,190
114,1,觀音區,295
114,1,復興區,22
113,9,桃園區,878
113,9,大溪區,185
113,9,中壢區,1020
113,9,楊梅區,561
113,9,蘆竹區,510
113,9,大園區,254
113,9,龜山區,276
113,9,八德區,389
113,9,龍潭區,259
113,9,平鎮區,664
113,9,新屋區,345
113,9,觀音區,417
113,9,復興區,18
113,8,桃園區,980
113,8,大溪區,176
113,8,中壢區,1051
113,8,楊梅區,570
113,8,蘆竹區,583
113,8,大園區,247
113,8,龜山區,397
113,8,八德區,433
113,8,龍潭區,403
113,8,平鎮區,506
113,8,新屋區,259
113,8,觀音區,415
113,8,復興區,24
113,7,桃園區,1154
113,7,大溪區,279
113,7,中壢區,1051
113,7,楊梅區,657
113,7,蘆竹區,427
113,7,大園區,261
113,7,龜山區,382
113,7,八德區,451
113,7,龍潭區,319
113,7,平鎮區,487
113,7,新屋區,229
113,7,觀音區,372
113,7,復興區,14
113,6,桃園區,1031
113,6,大溪區,211
113,6,中壢區,1152
113,6,楊梅區,531
113,6,蘆竹區,428
113,6,大園區,266
113,6,龜山區,474
113,6,八德區,272
113,6,龍潭區,327
113,6,平鎮區,547
113,6,新屋區,167
113,6,觀音區,391
113,6,復興區,15
113,5,桃園區,1401
113,5,大溪區,215
113,5,中壢區,1072
113,5,楊梅區,895
113,5,蘆竹區,716
113,5,大園區,266
113,5,龜山區,496
113,5,八德區,333
113,5,龍潭區,351
113,5,平鎮區,586
113,5,新屋區,283
113,5,觀音區,563
113,5,復興區,15
113,4,桃園區,1022
113,4,大溪區,161
113,4,中壢區,1038
113,4,楊梅區,528
113,4,蘆竹區,569
113,4,大園區,268
113,4,龜山區,366
113,4,八德區,287
113,4,龍潭區,290
113,4,平鎮區,534
113,4,新屋區,277
113,4,觀音區,318
113,4,復興區,28
113,3,桃園區,942
113,3,大溪區,152
113,3,中壢區,954
113,3,楊梅區,557
113,3,蘆竹區,572
113,3,大園區,280
113,3,龜山區,369
113,3,八德區,217
113,3,龍潭區,305
113,3,平鎮區,419
113,3,新屋區,171
113,3,觀音區,297
113,3,復興區,30
113,2,桃園區,716
113,2,大溪區,239
113,2,中壢區,633
113,2,楊梅區,661
113,2,蘆竹區,307
113,2,大園區,174
113,2,龜山區,625
113,2,八德區,191
113,2,龍潭區,215
113,2,平鎮區,419
113,2,新屋區,129
113,2,觀音區,162
113,2,復興區,8
113,12,桃園區,677
113,12,大溪區,211
113,12,中壢區,1111
113,12,楊梅區,525
113,12,蘆竹區,403
113,12,大園區,270
113,12,龜山區,288
113,12,八德區,284
113,12,龍潭區,469
113,12,平鎮區,418
113,12,新屋區,230
113,12,觀音區,307
113,12,復興區,35
113,11,桃園區,612
113,11,大溪區,138
113,11,中壢區,865
113,11,楊梅區,345
113,11,蘆竹區,465
113,11,大園區,429
113,11,龜山區,320
113,11,八德區,237
113,11,龍潭區,390
113,11,平鎮區,370
113,11,新屋區,187
113,11,觀音區,282
113,11,復興區,7
113,10,桃園區,657
113,10,大溪區,104
113,10,中壢區,844
113,10,楊梅區,565
113,10,蘆竹區,192
113,10,大園區,297
113,10,龜山區,300
113,10,八德區,309
113,10,龍潭區,398
113,10,平鎮區,342
113,10,新屋區,180
113,10,觀音區,477
113,10,復興區,11
113,1,桃園區,892
113,1,大溪區,407
113,1,中壢區,1086
113,1,楊梅區,938
113,1,蘆竹區,375
113,1,大園區,272
113,1,龜山區,448
113,1,八德區,321
113,1,龍潭區,345
113,1,平鎮區,526
113,1,新屋區,284
113,1,觀音區,422
113,1,復興區,15
112,9,桃園區,880
112,9,大溪區,238
112,9,中壢區,1124
112,9,楊梅區,683
112,9,蘆竹區,339
112,9,大園區,221
112,9,龜山區,497
112,9,八德區,386
112,9,龍潭區,347
112,9,平鎮區,695
112,9,新屋區,163
112,9,觀音區,264
112,9,復興區,20
112,8,桃園區,781
112,8,大溪區,141
112,8,中壢區,992
112,8,楊梅區,529
112,8,蘆竹區,419
112,8,大園區,280
112,8,龜山區,461
112,8,八德區,411
112,8,龍潭區,387
112,8,平鎮區,732
112,8,新屋區,175
112,8,觀音區,257
112,8,復興區,9
112,7,桃園區,809
112,7,大溪區,324
112,7,中壢區,984
112,7,楊梅區,501
112,7,蘆竹區,349
112,7,大園區,314
112,7,龜山區,349
112,7,八德區,348
112,7,龍潭區,277
112,7,平鎮區,632
112,7,新屋區,138
112,7,觀音區,266
112,7,復興區,17
112,6,桃園區,729
112,6,大溪區,184
112,6,中壢區,814
112,6,楊梅區,425
112,6,蘆竹區,395
112,6,大園區,293
112,6,龜山區,417
112,6,八德區,269
112,6,龍潭區,309
112,6,平鎮區,624
112,6,新屋區,151
112,6,觀音區,287
112,6,復興區,16
112,5,桃園區,911
112,5,大溪區,318
112,5,中壢區,867
112,5,楊梅區,688
112,5,蘆竹區,368
112,5,大園區,335
112,5,龜山區,404
112,5,八德區,308
112,5,龍潭區,335
112,5,平鎮區,569
112,5,新屋區,174
112,5,觀音區,302
112,5,復興區,43
112,4,桃園區,642
112,4,大溪區,137
112,4,中壢區,687
112,4,楊梅區,355
112,4,蘆竹區,277
112,4,大園區,177
112,4,龜山區,342
112,4,八德區,196
112,4,龍潭區,222
112,4,平鎮區,365
112,4,新屋區,130
112,4,觀音區,262
112,4,復興區,16
112,3,桃園區,753
112,3,大溪區,227
112,3,中壢區,788
112,3,楊梅區,405
112,3,蘆竹區,410
112,3,大園區,228
112,3,龜山區,458
112,3,八德區,297
112,3,龍潭區,310
112,3,平鎮區,440
112,3,新屋區,132
112,3,觀音區,533
112,3,復興區,22
112,2,桃園區,475
112,2,大溪區,128
112,2,中壢區,665
112,2,楊梅區,384
112,2,蘆竹區,423
112,2,大園區,142
112,2,龜山區,442
112,2,八德區,140
112,2,龍潭區,238
112,2,平鎮區,380
112,2,新屋區,111
112,2,觀音區,248
112,2,復興區,18
112,12,桃園區,1107
112,12,大溪區,234
112,12,中壢區,1078
112,12,楊梅區,925
112,12,蘆竹區,224
112,12,大園區,417
112,12,龜山區,435
112,12,八德區,515
112,12,龍潭區,290
112,12,平鎮區,634
112,12,新屋區,199
112,12,觀音區,382
112,12,復興區,23
112,11,桃園區,803
112,11,大溪區,208
112,11,中壢區,1291
112,11,楊梅區,930
112,11,蘆竹區,491
112,11,大園區,367
112,11,龜山區,476
112,11,八德區,426
112,11,龍潭區,302
112,11,平鎮區,539
112,11,新屋區,158
112,11,觀音區,346
112,11,復興區,26
112,10,桃園區,818
112,10,大溪區,344
112,10,中壢區,1114
112,10,楊梅區,534
112,10,蘆竹區,277
112,10,大園區,259
112,10,龜山區,399
112,10,八德區,367
112,10,龍潭區,301
112,10,平鎮區,547
112,10,新屋區,236
112,10,觀音區,409
112,10,復興區,13
112,1,桃園區,497
112,1,大溪區,113
112,1,中壢區,1050
112,1,楊梅區,689
112,1,蘆竹區,282
112,1,大園區,167
112,1,龜山區,317
112,1,八德區,197
112,1,龍潭區,236
112,1,平鎮區,285
112,1,新屋區,102
112,1,觀音區,191
112,1,復興區,15
111,9,桃園區,727
111,9,大溪區,669
111,9,中壢區,760
111,9,楊梅區,546
111,9,蘆竹區,562
111,9,大園區,168
111,9,龜山區,598
111,9,八德區,361
111,9,龍潭區,282
111,9,平鎮區,498
111,9,新屋區,183
111,9,觀音區,707
111,9,復興區,12
111,8,桃園區,748
111,8,大溪區,302
111,8,中壢區,1226
111,8,楊梅區,534
111,8,蘆竹區,470
111,8,大園區,254
111,8,龜山區,384
111,8,八德區,338
111,8,龍潭區,373
111,8,平鎮區,455
111,8,新屋區,252
111,8,觀音區,868
111,8,復興區,13
111,7,桃園區,799
111,7,大溪區,243
111,7,中壢區,1381
111,7,楊梅區,639
111,7,蘆竹區,477
111,7,大園區,217
111,7,龜山區,425
111,7,八德區,312
111,7,龍潭區,341
111,7,平鎮區,385
111,7,新屋區,313
111,7,觀音區,517
111,7,復興區,40
111,6,桃園區,979
111,6,大溪區,217
111,6,中壢區,1075
111,6,楊梅區,623
111,6,蘆竹區,1471
111,6,大園區,357
111,6,龜山區,411
111,6,八德區,286
111,6,龍潭區,452
111,6,平鎮區,1029
111,6,新屋區,167
111,6,觀音區,541
111,6,復興區,25
111,5,桃園區,941
111,5,大溪區,185
111,5,中壢區,1168
111,5,楊梅區,767
111,5,蘆竹區,454
111,5,大園區,304
111,5,龜山區,501
111,5,八德區,351
111,5,龍潭區,402
111,5,平鎮區,739
111,5,新屋區,183
111,5,觀音區,491
111,5,復興區,13
111,4,桃園區,833
111,4,大溪區,206
111,4,中壢區,1026
111,4,楊梅區,645
111,4,蘆竹區,375
111,4,大園區,204
111,4,龜山區,438
111,4,八德區,291
111,4,龍潭區,338
111,4,平鎮區,540
111,4,新屋區,276
111,4,觀音區,619
111,4,復興區,12
111,3,桃園區,1002
111,3,大溪區,324
111,3,中壢區,1172
111,3,楊梅區,735
111,3,蘆竹區,338
111,3,大園區,286
111,3,龜山區,555
111,3,八德區,427
111,3,龍潭區,408
111,3,平鎮區,657
111,3,新屋區,208
111,3,觀音區,506
111,3,復興區,25
111,2,桃園區,690
111,2,大溪區,120
111,2,中壢區,661
111,2,楊梅區,344
111,2,蘆竹區,328
111,2,大園區,174
111,2,龜山區,319
111,2,八德區,306
111,2,龍潭區,297
111,2,平鎮區,311
111,2,新屋區,118
111,2,觀音區,452
111,2,復興區,13
111,12,桃園區,651
111,12,大溪區,270
111,12,中壢區,1091
111,12,楊梅區,528
111,12,蘆竹區,298
111,12,大園區,206
111,12,龜山區,398
111,12,八德區,403
111,12,龍潭區,290
111,12,平鎮區,571
111,12,新屋區,159
111,12,觀音區,315
111,12,復興區,16
111,11,桃園區,729
111,11,大溪區,510
111,11,中壢區,969
111,11,楊梅區,538
111,11,蘆竹區,256
111,11,大園區,220
111,11,龜山區,430
111,11,八德區,342
111,11,龍潭區,444
111,11,平鎮區,562
111,11,新屋區,181
111,11,觀音區,521
111,11,復興區,13
111,10,桃園區,646
111,10,大溪區,250
111,10,中壢區,816
111,10,楊梅區,472
111,10,蘆竹區,376
111,10,大園區,222
111,10,龜山區,320
111,10,八德區,284
111,10,龍潭區,275
111,10,平鎮區,596
111,10,新屋區,169
111,10,觀音區,524
111,10,復興區,20
111,1,桃園區,1058
111,1,大溪區,259
111,1,中壢區,1231
111,1,楊梅區,855
111,1,蘆竹區,522
111,1,大園區,315
111,1,龜山區,578
111,1,八德區,393
111,1,龍潭區,453
111,1,平鎮區,602
111,1,新屋區,297
111,1,觀音區,650
111,1,復興區,11
110,9,桃園區,1045
110,9,大溪區,175
110,9,中壢區,887
110,9,楊梅區,640
110,9,蘆竹區,388
110,9,大園區,352
110,9,龜山區,397
110,9,八德區,498
110,9,龍潭區,419
110,9,平鎮區,504
110,9,新屋區,184
110,9,觀音區,400
110,9,復興區,16
110,8,桃園區,865
110,8,大溪區,226
110,8,中壢區,863
110,8,楊梅區,459
110,8,蘆竹區,442
110,8,大園區,277
110,8,龜山區,330
110,8,八德區,604
110,8,龍潭區,320
110,8,平鎮區,442
110,8,新屋區,172
110,8,觀音區,377
110,8,復興區,8
110,7,桃園區,741
110,7,大溪區,235
110,7,中壢區,863
110,7,楊梅區,467
110,7,蘆竹區,520
110,7,大園區,441
110,7,龜山區,371
110,7,八德區,232
110,7,龍潭區,350
110,7,平鎮區,457
110,7,新屋區,215
110,7,觀音區,338
110,7,復興區,12
110,6,桃園區,1179
110,6,大溪區,255
110,6,中壢區,1335
110,6,楊梅區,764
110,6,蘆竹區,421
110,6,大園區,396
110,6,龜山區,418
110,6,八德區,359
110,6,龍潭區,464
110,6,平鎮區,881
110,6,新屋區,359
110,6,觀音區,441
110,6,復興區,24
110,5,桃園區,1244
110,5,大溪區,334
110,5,中壢區,1555
110,5,楊梅區,689
110,5,蘆竹區,388
110,5,大園區,200
110,5,龜山區,432
110,5,八德區,374
110,5,龍潭區,435
110,5,平鎮區,737
110,5,新屋區,206
110,5,觀音區,350
110,5,復興區,3
110,4,桃園區,1155
110,4,大溪區,299
110,4,中壢區,1056
110,4,楊梅區,546
110,4,蘆竹區,477
110,4,大園區,294
110,4,龜山區,409
110,4,八德區,324
110,4,龍潭區,346
110,4,平鎮區,553
110,4,新屋區,198
110,4,觀音區,338
110,4,復興區,25
110,3,桃園區,1188
110,3,大溪區,259
110,3,中壢區,1109
110,3,楊梅區,672
110,3,蘆竹區,467
110,3,大園區,241
110,3,龜山區,391
110,3,八德區,396
110,3,龍潭區,440
110,3,平鎮區,556
110,3,新屋區,195
110,3,觀音區,390
110,3,復興區,8
110,2,桃園區,939
110,2,大溪區,162
110,2,中壢區,972
110,2,楊梅區,372
110,2,蘆竹區,570
110,2,大園區,151
110,2,龜山區,478
110,2,八德區,275
110,2,龍潭區,336
110,2,平鎮區,465
110,2,新屋區,118
110,2,觀音區,199
110,2,復興區,13
110,12,桃園區,1357
110,12,大溪區,413
110,12,中壢區,1250
110,12,楊梅區,937
110,12,蘆竹區,459
110,12,大園區,308
110,12,龜山區,529
